,combination,f1_deceased,recall_deceased,overall_accuracy,overall_recall
37,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.43278275539939753,0.29519999999999996,0.9055564703514646,0.9055564703514646
38,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.43623933642841184,0.29784,0.9060504601423421,0.9060504601423421
39,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4413769598415301,0.30282666666666663,0.9064712662604971,0.9064712662604971
40,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.42378415454675794,0.2863733333333333,0.9047392526727287,0.9047392526727287
41,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4256929107942307,0.28864,0.9049008666166579,0.9049008666166579
42,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.42419604050993315,0.28664,0.9050350366833159,0.9050350366833159
43,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.4283292568371339,0.2915466666666666,0.9050807764787675,0.9050807764787675
44,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4262039089188205,0.2885866666666667,0.9051570094711869,0.9051570094711869
45,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.4287390891994037,0.28970666666666667,0.9059162900756842,0.9059162900756842
46,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.436110620933734,0.2970933333333334,0.9063066029968714,0.9063066029968714
47,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.43688987846013866,0.29760000000000003,0.9064560196620134,0.9064560196620134
48,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.4434175582435433,0.30362666666666666,0.9070079465271297,0.9070079465271297
49,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4430166072980213,0.30272,0.9071604125119687,0.9071604125119687
50,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.43744041684213597,0.2991733333333333,0.9061754822499101,0.9061754822499101
51,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4420675692490421,0.30304,0.9067304584347232,0.9067304584347232
52,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.44724554445066794,0.30778666666666665,0.9073189771362009,0.9073189771362009
53,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.44782536287746594,0.30768,0.9075537747528526,0.9075537747528526
54,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.44937699928426933,0.30877333333333334,0.9076970927786011,0.9076970927786011
55,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.4398043358356463,0.30104000000000003,0.9064560196620134,0.9064560196620134
56,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4443197300515296,0.3049866666666667,0.9069926999286458,0.9069926999286458
57,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.4504263090048439,0.31104,0.9074561965225558,0.9074561965225558
58,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.45347855174335555,0.31373333333333336,0.907834312164956,0.907834312164956
59,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.45463758329570775,0.3144266666666667,0.908066060461911,0.908066060461911
60,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.4382899055632308,0.29994666666666664,0.9063035536771746,0.9063035536771746
61,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4375650876667098,0.29856,0.9064163785059552,0.9064163785059552
62,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.4398129511157401,0.30093333333333333,0.9066450774832134,0.9066450774832134
63,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.4403810604123739,0.30119999999999997,0.9067213104756329,0.9067213104756329
64,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.44021181246169366,0.30095999999999995,0.9067121625165425,0.9067121625165425
65,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.4396559173102028,0.29906666666666665,0.9071024754377298,0.9071024754377298
66,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4468417089040703,0.30578666666666665,0.9076757475407237,0.9076757475407237
67,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.44936958061458493,0.3086933333333333,0.9077275859755689,0.9077275859755689
68,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.45395280632844387,0.3128533333333333,0.9081849839300853,0.9081849839300853
69,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.45684105697793914,0.31576,0.908349647193711,0.908349647193711
70,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.44862473334522407,0.30824,0.9076117118270913,0.9076117118270913
71,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.45179731609859175,0.3102666666666667,0.9081392441346336,0.9081392441346336
72,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.45599094761035003,0.3144533333333333,0.9084746693012788,0.9084746693012788
73,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.4568126539305444,0.31488000000000005,0.9087978971891371,0.9087978971891371
74,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4620316156674768,0.3209333333333333,0.9089534124936726,0.9089534124936726
75,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.4522883531856887,0.31226666666666664,0.9078373614846527,0.9078373614846527
76,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4565449972318265,0.31573333333333337,0.9083465978740143,0.9083465978740143
